cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
butane_b0.5_s2.3_full_trans,fr_estimated,final_l2_Fp,12,0.5295462278412693,0.5300634172498981,0.0005965812553461181,-0.00020629882832455974,0.0012469613276153762,0.0011192928151256636,-0.0004279513759272636,0.002354778047462454,0.3333333333333333
butane_b0.5_s2.3_full_trans,fr_oracle,final_l2_Fp,12,0.5295462278412693,0.5308164791089919,0.00020292165356278202,-0.0004776264841084896,0.001394830567714477,0.0003834877920051165,-0.0009000246716129992,0.00260568411830977,0.3333333333333333
butane_b0.5_s2.3_full_trans,fr_uniform,final_l2_Fp,12,0.5295462278412693,0.5298838822696889,0.00035262645513289836,-0.0002637975967871524,0.0011948879195088,0.0006555288833891765,-0.0005163139354478562,0.0022164005172445596,0.4166666666666667
butane_b0.5_s2.3_full_trans,opes,final_l2_Fp,12,0.5295462278412693,0.6393186755818707,0.1102625955328364,0.10671010058660449,0.11332898826276672,0.20817516715202183,0.20043271679180444,0.21348574579703575,0.0
butane_b1_s2.3_full_dispersed,fr_estimated,final_l2_Fp,16,0.2841877488442743,0.28419824243973,7.708491697600017e-05,-0.000469578131729919,0.000466438362864987,0.00027404076216789485,-0.0016096776012712085,0.0016527034467543795,0.4375
butane_b1_s2.3_full_dispersed,fr_oracle,final_l2_Fp,16,0.2841877488442743,0.2836195423037388,-0.0002189559143493114,-0.0004559813477818584,0.00010818409276033126,-0.0007781975767337075,-0.0015902772661228006,0.0003486757926389691,0.6875
butane_b1_s2.3_full_dispersed,fr_uniform,final_l2_Fp,16,0.2841877488442743,0.2842192426442167,0.00012358887792729423,-0.00046455132956304326,0.00045713900253224076,0.00043729006352276307,-0.001602945668680587,0.00158928564920937,0.375
butane_b1_s2.3_full_dispersed,opes,final_l2_Fp,16,0.2841877488442743,0.3341526073967378,0.050184637592857684,0.048674744596841915,0.0524358779138581,0.17669720390513755,0.1709958762880922,0.184805608620032,0.0
butane_b1_s2.3_full_trans,fr_estimated,final_l2_Fp,16,0.2872251580233819,0.28792447607401755,0.00041002345673127327,0.00021142794282259835,0.000985374693159366,0.0014368581690669042,0.0007056695947388422,0.0034286129816780485,0.1875
butane_b1_s2.3_full_trans,fr_oracle,final_l2_Fp,16,0.2872251580233819,0.28726919256626726,-0.00012985840244095215,-0.0003368671406490855,8.561779979118577e-05,-0.00045213650620204915,-0.0011674173124362785,0.0002893362162914359,0.6875
butane_b1_s2.3_full_trans,fr_uniform,final_l2_Fp,16,0.2872251580233819,0.28699773860946387,0.00038111285069430956,0.00013145573369332029,0.0006626083546242079,0.0013258592517435494,0.0004660127582285471,0.0023430920504407277,0.125
butane_b1_s2.3_full_trans,opes,final_l2_Fp,16,0.2872251580233819,0.36374876405586887,0.07898253051707219,0.07590829732218357,0.08069820077681239,0.2772509028208797,0.2647377817641746,0.28276154704357515,0.0
butane_b2_s2.3_full_trans,fr_estimated,final_l2_Fp,12,0.15854536836564842,0.15890370420617667,0.00014612134521171938,-6.005437563896919e-05,0.0005411006597963005,0.0009140159712578081,-0.0003289040267543969,0.003401387458957698,0.4166666666666667
butane_b2_s2.3_full_trans,fr_oracle,final_l2_Fp,12,0.15854536836564842,0.15896305212584866,-3.937618830211764e-05,-0.0002368717925826839,0.0002240440266843012,-0.000249535692477374,-0.0014620679941185456,0.0014503163021951189,0.5833333333333334
butane_b2_s2.3_full_trans,fr_uniform,final_l2_Fp,12,0.15854536836564842,0.15888356286073993,0.00040334484400877946,0.00011059630114098011,0.0006521223214193351,0.002548343069824264,0.000718973153572555,0.004098070057168443,0.25
butane_b2_s2.3_full_trans,opes,final_l2_Fp,12,0.15854536836564842,0.31080114849363905,0.15225578012799063,0.14878436839459025,0.15523347201461482,0.9603293404801383,0.9350976677193981,0.9793786378964894,0.0
pentane_b1_s2.3_full_dispersed,fr_active,final_l2_Fp,16,0.2637950087027169,0.28261701099006,0.012610134772073539,0.010561584264448982,0.01741410317235379,0.04832112096391007,0.039552197881877964,0.06651037119254677,0.0625
pentane_b1_s2.3_full_dispersed,fr_estimated,final_l2_Fp,16,0.2637950087027169,0.2650526781009408,0.001644058733399928,-0.0005294270875382311,0.0040891471088685995,0.005953059728289816,-0.0019544353728685165,0.015507408831288906,0.375
pentane_b1_s2.3_full_dispersed,fr_oracle,final_l2_Fp,16,0.2637950087027169,0.2635494919109237,0.0006935765185081821,-0.001830037877733673,0.0017220936523359115,0.002719428723689402,-0.006680540626301643,0.006596641612854696,0.4375
pentane_b1_s2.3_full_dispersed,fr_uniform,final_l2_Fp,16,0.2637950087027169,0.2655287464020436,0.0015055609131542635,-0.0010811558764132017,0.003402908580547222,0.005465226389664053,-0.003997198263942082,0.012802507685531315,0.375
pentane_b1_s2.3_full_dispersed,opes,final_l2_Fp,16,0.2637950087027169,0.3899458536000179,0.11791587659452049,0.11385747080650159,0.1264639207105822,0.4516198555095732,0.4236048218655112,0.4826470883138921,0.0
pentane_b1_s2.3_full_trans,fr_active,final_l2_Fp,16,0.2974313310678723,0.3143361141900258,0.016535371507907543,0.011898183829784234,0.020031293969005416,0.05539850169681998,0.039736666453228583,0.06795716765215834,0.0625
pentane_b1_s2.3_full_trans,fr_estimated,final_l2_Fp,16,0.2974313310678723,0.29826957242205854,0.001339369418730918,-0.0006618565788894493,0.0037493781909268675,0.004541737716442527,-0.0022510685616903415,0.01259432462622127,0.375
pentane_b1_s2.3_full_trans,fr_oracle,final_l2_Fp,16,0.2974313310678723,0.29610297002452945,-0.0006308849739527778,-0.0024655288858491165,0.0016398551603011738,-0.0021542203153999137,-0.00828220479080499,0.00569461661478601,0.5
pentane_b1_s2.3_full_trans,fr_uniform,final_l2_Fp,16,0.2974313310678723,0.29830286760945357,0.001344010806332091,-0.000662608946576756,0.0037913298222330616,0.00455520124162293,-0.00229164890554818,0.012632947424249719,0.375
pentane_b1_s2.3_full_trans,opes,final_l2_Fp,16,0.2974313310678723,0.4421222141568972,0.14302491741187717,0.1392123525420535,0.14895440572497876,0.48208792833612074,0.46427912866511073,0.5033039361529722,0.0
pentane_b2_s2.3_full_trans,fr_active,final_l2_Fp,16,0.20801140205102672,0.21270438137939846,0.003336617408139869,0.0025020780450668036,0.004238164699943495,0.015990787904761262,0.012007538118991199,0.020576760685305645,0.0625
pentane_b2_s2.3_full_trans,fr_estimated,final_l2_Fp,16,0.20801140205102672,0.20945918695753207,0.00074062989069483,0.0005059433996884517,0.0014502703939176377,0.0035341443636292963,0.0024654868948215196,0.007078172220679035,0.1875
pentane_b2_s2.3_full_trans,fr_oracle,final_l2_Fp,16,0.20801140205102672,0.2085894665780938,-0.0006361249242806399,-0.0008491115609404675,-7.989085040851666e-06,-0.0030797324219401278,-0.004107408284865268,2.8263348122715406e-06,0.6875
pentane_b2_s2.3_full_trans,fr_uniform,final_l2_Fp,16,0.20801140205102672,0.20877283324997442,0.00043551712116539354,0.00023853271437677682,0.0012362536889555793,0.0020878388973369763,0.0012016721296073012,0.005869104214200282,0.125
pentane_b2_s2.3_full_trans,opes,final_l2_Fp,16,0.20801140205102672,0.3742710927773808,0.1652836932730425,0.15911069621784207,0.16786987604106987,0.7853505476943718,0.760869584049234,0.8055664011757829,0.0
