stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.46037736535072327,-0.012382656335830688,0.9759093225002289,0.6769142299890518,0.714285671710968,74451454.0,-0.011081365868449211,0.8937554359436035,0.03587119790839169
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.46918240189552307,-0.005139339715242386,0.6693517118692398,0.679883286356926,0.714285671710968,74592810.0,-0.0024898857809603214,0.5900877714157104,0.03526008990151453
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.4779874086380005,-0.0006270743906497955,0.3555809333920479,0.6825951635837555,0.714285671710968,74726136.0,0.000193518353626132,0.2774076759815216,0.035071362643949146
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.4867924451828003,0.0010986067354679108,0.036395310424268246,0.6849044412374496,0.714285671710968,74855930.0,9.675946785137057e-05,-0.03951340913772583,0.03507815023263154
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.4955974817276001,0.0,-0.28593626618385315,0.6866829097270966,0.714285671710968,74987316.0,0.0,-0.3564364016056061,0.035084939175804325
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5044025182723999,-0.003938719630241394,-0.6087179481983185,0.6878296881914139,0.714285671710968,75124044.0,-0.004542456939816475,-0.6739820241928101,0.03540513510059386
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5132075548171997,-0.010708950459957123,-0.9290904551744461,0.6882788091897964,0.714285671710968,75269464.0,-0.013530557975172997,-0.9921542406082153,0.03604733987125053
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5220125913619995,-0.020277634263038635,-1.2443656027317047,0.6880042999982834,0.714285671710968,75425268.0,-0.02251860499382019,-1.3103244304656982,0.03670118946649292
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5308176279067993,-0.03259002044796944,-1.552303969860077,0.6870216280221939,0.714285671710968,75590392.0,-0.03423841670155525,-1.6199840307235718,0.03757161287324377
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5396226644515991,-0.04757421463727951,-1.851246327161789,0.6853860914707184,0.714285671710968,75762220.0,-0.051762908697128296,-1.9115548133850098,0.03891180879193589
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5484277009963989,-0.06514612585306168,-2.1400851607322693,0.6831878274679184,0.714285671710968,75937844.0,-0.06928729265928268,-2.2031238079071045,0.04029980137971267
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.557232677936554,-0.08521432429552078,-2.41826069355011,0.680544450879097,0.714285671710968,76112830.0,-0.0878918468952179,-2.4902045726776123,0.041827568217343986
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5660377144813538,-0.10768446885049343,-2.6856691241264343,0.6775917857885361,0.714285671710968,76286046.0,-0.11313135176897049,-2.7497153282165527,0.04399318161508812
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5748427510261536,-0.13246330246329308,-2.942662835121155,0.6744738072156906,0.714285671710968,76457658.0,-0.13837100565433502,-3.009227752685547,0.04627093297309708
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5836477875709534,-0.15946197509765625,-3.189929962158203,0.6713327616453171,0.714285671710968,76629284.0,-0.16361050307750702,-3.2687385082244873,0.04866659990546785
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.5924528241157532,-0.18859849497675896,-3.4282195568084717,0.6682999283075333,0.714285671710968,76802504.0,-0.19545377790927887,-3.5016708374023438,0.051866832008589416
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.601257860660553,-0.21979650482535362,-3.6581754088401794,0.6654888093471527,0.714285671710968,76978186.0,-0.22757196426391602,-3.733494281768799,0.055307907087078015
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6100628972053528,-0.25298357009887695,-3.8800241947174072,0.6629899591207504,0.714285671710968,77157090.0,-0.2596903443336487,-3.9653191566467285,0.05897730115812235
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6188679337501526,-0.288087897002697,-4.093669176101685,0.6608685553073883,0.714285671710968,77340650.0,-0.29653200507164,-4.172887802124023,0.06348705108748899
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6276729702949524,-0.32503627985715866,-4.298884749412537,0.6591644883155823,0.714285671710968,77529954.0,-0.3347061574459076,-4.373616695404053,0.06852401515082389
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6364780068397522,-0.3637535199522972,-4.4954551458358765,0.6578947007656097,0.714285671710968,77725452.0,-0.37288030982017517,-4.574345588684082,0.07396060412255727
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.645283043384552,-0.40416319668293,-4.683309435844421,0.6570572406053543,0.714285671710968,77927684.0,-0.41415923833847046,-4.755984783172607,0.08032576524014695
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6540880799293518,-0.44618823379278183,-4.862373352050781,0.6566361486911774,0.714285671710968,78134414.0,-0.457508385181427,-4.924899101257324,0.08760067693155635
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6628930568695068,-0.489751435816288,-5.0326902866363525,0.656606987118721,0.714285671710968,78341454.0,-0.5008570551872253,-5.093811511993408,0.09553436879869348
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6716980934143066,-0.534776046872139,-5.1943241357803345,0.6569419354200363,0.714285671710968,78545720.0,-0.5460676550865173,-5.25379753112793,0.10457528736450417
