stage,method,physics_tag,beta,h,M,seed,n_steps,t,l2_f,l2_fp,repl_cumulative,frac_compact,frac_transition,frac_stretched,ancestor_ess,max_ancestor_frac
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,0.0,1.492959046570984,8.833711234071904,0.0,1.0,0.0,0.0,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,0.4,5.705950977122979,20.51460100003092,0.0,0.9583333333333334,0.03125,0.010416666666666666,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,0.8,4.21342644011759,50.53686901532115,0.0,0.7291666666666666,0.25,0.020833333333333332,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,1.2,2.9633685794216573,9.557485613553627,0.0,0.6354166666666666,0.23958333333333334,0.125,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,1.6,2.3633776494788923,6.880972921175759,1.0,0.5520833333333334,0.2708333333333333,0.17708333333333334,94.04081632653062,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,2.0,1.936515314297211,5.453316286143528,1.0,0.375,0.375,0.25,94.04081632653062,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,2.4,1.676112293427053,4.677337464209765,1.0,0.3229166666666667,0.3333333333333333,0.34375,94.04081632653062,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,2.8000000000000003,1.5213593803299046,4.19753858577013,1.0,0.3125,0.2708333333333333,0.4166666666666667,94.04081632653062,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,3.2,1.4200774504516314,3.954755043766023,2.0,0.20833333333333334,0.3229166666666667,0.46875,92.16,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,3.6,1.319318413347382,3.7423297933480333,3.0,0.21875,0.3020833333333333,0.4791666666666667,90.35294117647058,0.020833333333333332
