seed,init,region,k,pilot_population,first_touch_ps,T_hit_ps,T_hit_frac,T_est_ps,T_est_frac,occ_over_target_final,occ_over_target_secondhalf,mean_occupancy,mean_target,max_rel_deficit_after_hit,max_rel_deficit_second_half,frac_below_half_target,integrated_deficit,entries_corridor_aware,entries_naive,first_entry_ps,final_pmf_err_kT,integrated_pmf_err_kT,marginal_tv
9,stratified,B5,5,0.037994473226984134,0.0,0.0,0.0,24.0,0.08,0.9251772534410461,0.8835788966106115,0.08934892219178722,0.0973372342616256,0.9753163896085777,0.315098122472001,0.019867549668874173,4.103338943370053,843,72736,0.0,0.23682524008370687,0.44900570589012395,0.06542473930204978
9,stratified,B6,6,0.005483067625717974,3.978,4.0,0.013333333333333334,22.0,0.07333333333333333,1.0490968189764756,0.8376492815132961,0.07098327812378398,0.08460177753247773,0.9911702927779653,0.38166218601813773,0.046357615894039736,4.750196697348002,556,0,6.0,0.23682524008370687,0.44900570589012395,0.06542473930204978
9,stratified,B7,7,0.001422569912857225,5.381,6.0,0.02,8.0,0.02666666666666667,1.4190170840498688,1.4908830834130589,0.07143169348253293,0.05179889449742829,0.7473466719558539,0.0,0.006622516556291391,0.8855196910777006,501,0,6.0,0.23682524008370687,0.44900570589012395,0.06542473930204978
10,stratified,B0,0,0.4201089937704364,0.0,0.0,0.0,32.0,0.10666666666666667,0.8714376232574818,0.933556394085781,0.24965750698561467,0.2681589882903392,0.9443256368633232,0.21498367607679966,0.026490066225165563,8.90171755004963,3465,34525,0.0,0.2563889151407094,0.4970562727103638,0.07084649763044396
10,stratified,B1,1,0.18978722028284603,0.0,0.0,0.0,18.0,0.06,0.9308883617323651,0.8974431630441488,0.12563121261564625,0.13487560617056005,0.9820827998697297,0.27553043720459963,0.013245033112582781,4.724656194438287,1498,70671,0.0,0.2563889151407094,0.4970562727103638,0.07084649763044396
10,stratified,B2,2,0.18404660798157213,0.0,0.0,0.0,22.0,0.07333333333333333,1.0708711447786605,1.0819595349145619,0.1493632283563836,0.12720022790405588,0.4058447467668438,0.10395028114923341,0.0,1.0616870423993263,3012,102574,0.0,0.2563889151407094,0.4970562727103638,0.07084649763044396
10,stratified,B3,3,0.09004080251099764,3.973,4.0,0.013333333333333334,12.0,0.04,1.0430310569515358,1.101011564579607,0.13782174689321017,0.1399650961209691,0.9993843508963548,0.15657259066740722,0.026490066225165563,6.06394740014759,1589,0,4.0,0.2563889151407094,0.4970562727103638,0.07084649763044396
10,stratified,B4,4,0.07008868272110982,0.0,0.0,0.0,34.0,0.11333333333333333,1.258801450603174,1.1551611220759446,0.10929468121088538,0.09551140647528596,0.9792235241199151,0.20865514011282427,0.019867549668874173,1.5312709835578144,1302,75132,0.0,0.2563889151407094,0.4970562727103638,0.07084649763044396
10,stratified,B5,5,0.037994473226984134,0.0,0.0,0.0,34.0,0.11333333333333333,0.9540902725551319,0.897590761816277,0.08596359158336887,0.09277228036391878,0.5736742808759605,0.3400931659652423,0.019867549668874173,3.5958637705885454,947,73188,0.0,0.2563889151407094,0.4970562727103638,0.07084649763044396
10,stratified,B6,6,0.005483067625717974,5.297,6.0,0.02,14.0,0.04666666666666667,0.7784234807391819,0.8491040443390896,0.0827674958500579,0.09780232992300515,0.7906453353411398,0.37275037692362495,0.013245033112582781,5.5615933714076,669,0,6.0,0.2563889151407094,0.4970562727103638,0.07084649763044396
10,stratified,B7,7,0.001422569912857225,3.59,4.0,0.013333333333333334,8.0,0.02666666666666667,1.7112290353858302,1.4631981709425028,0.06381561740648589,0.043534180260222155,0.9619014459147817,0.004685301264901024,0.006622516556291391,0.16961701207165059,396,0,6.0,0.2563889151407094,0.4970562727103638,0.07084649763044396
11,stratified,B0,0,0.4201089937704364,0.0,0.0,0.0,10.0,0.03333333333333333,1.01065312244025,0.9414534007766715,0.26763849463835665,0.2900376120717309,0.9989191452613956,0.174463571671193,0.026490066225165563,8.17776022760858,3955,41518,0.0,0.24906510389903527,0.46940411266039445,0.07406950839791683
11,stratified,B1,1,0.18978722028284603,4.73,6.0,0.02,16.0,0.05333333333333334,0.9291459297707849,0.9057388304043554,0.1224134357620944,0.13314435430533492,0.4169175513007795,0.2869766876752222,0.0,4.564201429711687,1617,69579,6.0,0.24906510389903527,0.46940411266039445,0.07406950839791683
11,stratified,B2,2,0.18404660798157213,4.171,6.0,0.02,6.0,0.02,1.0938779573142063,1.0916757515555715,0.1744692506612799,0.15868976241069677,0.3433235967894931,0.1915189694413822,0.0,0.8989211201248515,2374,115416,6.0,0.24906510389903527,0.46940411266039445,0.07406950839791683
11,stratified,B3,3,0.09004080251099764,0.0,0.0,0.0,40.0,0.13333333333333333,1.0354912227038693,1.0924278834091796,0.1191421518852256,0.09408803234037881,0.5807412272133958,0.15257109269240934,0.033112582781456956,0.8707917934723699,2938,0,0.0,0.24906510389903527,0.46940411266039445,0.07406950839791683
11,stratified,B4,4,0.07008868272110982,4.962,6.0,0.02,10.0,0.03333333333333333,1.0179357919937226,1.13854430150218,0.11655259003740133,0.10215471310173838,0.6241996860316438,0.11150585960292782,0.006622516556291391,0.6902217066080462,1332,75008,6.0,0.24906510389903527,0.46940411266039445,0.07406950839791683
11,stratified,B5,5,0.037994473226984134,3.984,4.0,0.013333333333333334,10.0,0.03333333333333333,0.7711165550767216,0.8916583284769571,0.09377796860610743,0.10360313184517098,0.9871724636906333,0.2967852443892453,0.006622516556291391,3.585401894174642,942,78953,6.0,0.24906510389903527,0.46940411266039445,0.07406950839791683
11,stratified,B6,6,0.005483067625717974,0.0,0.0,0.0,40.0,0.13333333333333333,0.8120124118578909,0.8169668475514833,0.06382363871503602,0.0809030569617815,0.6561567059974046,0.42232142528331656,0.052980132450331126,5.534553499242097,521,0,0.0,0.24906510389903527,0.46940411266039445,0.07406950839791683
11,stratified,B7,7,0.001422569912857225,0.0,0.0,0.0,30.0,0.1,1.6684828674937255,1.4574142937524304,0.05163850788386646,0.03642680198799852,1.0,0.05970901602629988,0.019867549668874173,0.18972919740222333,374,0,0.0,0.24906510389903527,0.46940411266039445,0.07406950839791683
12,stratified,B0,0,0.4201089937704364,0.0,0.0,0.0,24.0,0.08,0.9169482851035885,0.933767263249793,0.2557623780086277,0.2753556575739873,0.9126866267722187,0.19321455117557298,0.006622516556291391,9.109160164225088,3501,35831,0.0,0.24327655288687422,0.4442604550535419,0.06665811135370155
12,stratified,B1,1,0.18978722028284603,0.0,0.0,0.0,20.0,0.06666666666666667,0.9951393835305575,0.9134352428405452,0.1096397008185963,0.10692266313298654,0.43588602209188104,0.2860241604242703,0.0,3.1708440450666595,2170,72391,0.0,0.24327655288687422,0.4442604550535419,0.06665811135370155
