x,F_ref,Fprime_ref,p_ref
2.535,6.920695830818116,14.295806895904587,4.290994086050702e-21
2.55,7.13652329438832,14.48186384268865,1.8097859407518496e-21
2.5649999999999995,7.355172072234753,14.671985876433165,7.547365448259186e-22
2.58,7.576703298808376,14.866193404221045,3.1114026856025253e-22
2.5949999999999998,7.801178384777884,15.064502893087033,1.2676607906189652e-22
2.6099999999999994,8.028658959975793,15.266927144000654,5.1030382474461794e-23
2.625,8.259206820494233,15.473475570613468,2.02920614515734e-23
2.6399999999999997,8.492883879976413,15.684154479394397,7.96870113399771e-24
2.6549999999999994,8.729752125101113,15.898967348054079,3.0896213088740566e-24
2.67,8.969873575212986,16.11791509947881,1.1824194600728425e-24
2.6849999999999996,9.213310246012751,16.340996368740058,4.465589082445063e-25
2.7,9.460124117187556,16.568207761105022,1.6638690681300008e-25
2.715,9.710377103832846,16.799544099333968,6.114841205044583e-26
2.7299999999999995,9.964131031494846,17.034998658902335,2.215998495702171e-26
2.745,10.22144761464403,17.274563390120434,7.917075245568649e-27
2.76,10.482388438377463,17.51822912643535,2.787816172632205e-27
2.7749999999999995,10.747014943139325,17.765985778484026,9.672991587006818e-28
2.79,11.01538841224396,18.01782251371886,3.3063463336828053e-28
2.8049999999999997,11.28756996198524,18.27372792164869,1.1130650921279939e-28
2.8199999999999994,11.563620534118138,18.533690164926067,3.689534722131719e-29
2.835,11.843600890502675,18.797697116668065,1.2039152246662596e-29
2.8499999999999996,12.127571609707527,19.065736484524326,3.866234937731612e-30
2.865,12.415593085379234,19.337795922104096,1.2216412560421501e-30
2.88,12.707725526191979,19.613863128446216,3.7971492059784546e-31
2.8949999999999996,13.004028957204557,19.893925936265845,1.1607157633288189e-31
2.91,13.304563222461464,20.177972389740887,3.4885454894668775e-32
2.925,13.609387988687159,20.465990812613434,1.0306460300283788e-32
