phi,gamma,method,seed,final_l2_f,final_l2_fp,int_l2_f,final_ess,repl_fraction,score_std
0.75,1.0,abf,18,0.026128847501072642,0.0743025543972733,2.511151411666651,512.0,0.0,0.0
0.75,1.0,abf,19,0.024950411624551225,0.07473201632259507,2.7815419116215825,512.0,0.0,0.0
0.75,1.0,abf,2,0.021567943317978924,0.07342107362407413,2.7306322718779867,512.0,0.0,0.0
0.75,1.0,abf,3,0.024324594144588225,0.07506702477198648,2.623408932609074,512.0,0.0,0.0
0.75,1.0,abf,4,0.02601729421703936,0.07649452122378003,2.688118172623552,512.0,0.0,0.0
0.75,1.0,abf,5,0.01971820833776361,0.0695886724207126,2.414877685128941,512.0,0.0,0.0
0.75,1.0,abf,6,0.02368858362948688,0.06903162478922346,3.177408413096444,512.0,0.0,0.0
0.75,1.0,abf,7,0.028602130616248347,0.07588200689660601,2.9957288872785783,512.0,0.0,0.0
0.75,1.0,abf,8,0.026917767465568492,0.07261063145835461,2.764531428315874,512.0,0.0,0.0
0.75,1.0,abf,9,0.028178133604299403,0.07435107127296198,2.8634020427559657,512.0,0.0,0.0
0.75,30.0,abf,0,0.027103810669929587,0.0746674895768295,3.0737196490605845,512.0,0.0,0.0
0.75,30.0,abf,1,0.02286407453223575,0.07430837041892428,2.436245704146232,512.0,0.0,0.0
0.75,30.0,abf,10,0.025084728382142357,0.07609449411632811,2.3885020472217624,512.0,0.0,0.0
0.75,30.0,abf,11,0.01985360227271691,0.07356790433527836,2.3906270281788675,512.0,0.0,0.0
0.75,30.0,abf,12,0.018814554364893786,0.06970928856511427,2.4878383051583706,512.0,0.0,0.0
0.75,30.0,abf,13,0.02533758273453691,0.07276370062350063,2.625341243300938,512.0,0.0,0.0
0.75,30.0,abf,14,0.022909706120995556,0.07122676203974874,2.5393674888460804,512.0,0.0,0.0
0.75,30.0,abf,15,0.023820438846967364,0.07265674673081962,2.5931469692228823,512.0,0.0,0.0
0.75,30.0,abf,16,0.024303665786439613,0.07506092845318593,2.940757488660913,512.0,0.0,0.0
0.75,30.0,abf,17,0.018832460934438435,0.0680154776681215,2.4662710551972213,512.0,0.0,0.0
0.75,30.0,abf,18,0.016732570336731076,0.06483795287148286,2.3605445334330786,512.0,0.0,0.0
0.75,30.0,abf,19,0.018420576507244726,0.06740467432967957,2.7733700595546584,512.0,0.0,0.0
0.75,30.0,abf,2,0.019551700105482628,0.06560626645665618,2.6091179850232966,512.0,0.0,0.0
0.75,30.0,abf,3,0.025065143634295663,0.08001949146717073,2.606191269693349,512.0,0.0,0.0
0.75,30.0,abf,4,0.02631612924666478,0.07609285475724224,2.615616222678134,512.0,0.0,0.0
0.75,30.0,abf,5,0.027525096779722983,0.07135364706085263,3.1528025360133634,512.0,0.0,0.0
0.75,30.0,abf,6,0.02813572980313125,0.07449290760003348,2.4442464703331637,512.0,0.0,0.0
0.75,30.0,abf,7,0.021354391979289764,0.07016746214410485,2.4895600848608335,512.0,0.0,0.0
0.75,30.0,abf,8,0.02862075435194477,0.07209698465738437,2.6663247275543887,512.0,0.0,0.0
0.75,30.0,abf,9,0.02934521402101762,0.07513541853627113,2.875185348232409,512.0,0.0,0.0
0.75,50.0,abf,0,0.022623024013632143,0.076677063429475,2.5368474151939853,512.0,0.0,0.0
0.75,50.0,abf,1,0.015190500626164833,0.06103055959110412,2.193150185257177,512.0,0.0,0.0
0.75,50.0,abf,10,0.029409167495719594,0.08033158057523179,2.793722282012464,512.0,0.0,0.0
0.75,50.0,abf,11,0.028440287613085754,0.07900815789230094,2.7352380147768622,512.0,0.0,0.0
0.75,50.0,abf,12,0.02298642949524612,0.07114298347175477,2.6381884974938794,512.0,0.0,0.0
0.75,50.0,abf,13,0.025823982478964554,0.07261069132727223,3.1218200392401454,512.0,0.0,0.0
0.75,50.0,abf,14,0.03011839922069462,0.08385515112799115,2.7468069091026712,512.0,0.0,0.0
0.75,50.0,abf,15,0.02139505134894434,0.06978334878290711,2.4734820897260894,512.0,0.0,0.0
0.75,50.0,abf,16,0.02247258194437533,0.07289409328869567,2.706338263418824,512.0,0.0,0.0
0.75,50.0,abf,17,0.02152510260109317,0.07534752608185961,2.1887396583328003,512.0,0.0,0.0
0.75,50.0,abf,18,0.027290420724614572,0.0760273778524607,2.8210278093647077,512.0,0.0,0.0
0.75,50.0,abf,19,0.022586363785113087,0.07290008650649456,2.862603217650416,512.0,0.0,0.0
0.75,50.0,abf,2,0.023725353855534884,0.0691187980325137,2.4239792792122996,512.0,0.0,0.0
